id,name
6,Audi
7,BMW
13,CitroÃ«n
21,Fiat
22,Ford
23,GM - Chevrolet
25,Honda
26,Hyundai
31,Kia Motors
39,Mercedes-Benz
41,Mitsubishi
43,Nissan
44,Peugeot
48,Renault
55,Suzuki
56,Toyota
58,Volvo
59,VW - VolksWagen
1,Acura
2,Agrale
3,Alfa Romeo
4,AM Gen
5,Asia Motors
189,ASTON MARTIN
207,Baby
8,BRM
9,Buggy
123,Bugre
10,Cadillac
11,CBT Jipe
136,CHANA
182,CHANGAN
161,CHERY
12,Chrysler
14,Cross Lander
15,Daewoo
16,Daihatsu
17,Dodge
147,EFFA
18,Engesa
19,Envemo
20,Ferrari
149,Fibravan
190,FOTON
170,Fyber
199,GEELY
153,GREAT WALL
24,Gurgel
152,HAFEI
214,HITECH ELECTRIC
27,Isuzu
208,IVECO
177,JAC
28,Jaguar
29,Jeep
154,JINBEI
30,JPX
32,Lada
171,LAMBORGHINI
33,Land Rover
34,Lexus
168,LIFAN
127,LOBINI
35,Lotus
140,Mahindra
36,Maserati
37,Matra
38,Mazda
211,Mclaren
40,Mercury
167,MG
156,MINI
42,Miura
45,Plymouth
46,Pontiac
47,Porsche
185,RAM
186,RELY
195,Rolls-Royce
49,Rover
50,Saab
51,Saturn
52,Seat
183,SHINERAY
157,smart
125,SSANGYONG
54,Subaru
165,TAC
57,Troller
163,Wake
120,Walk
